Reading training examples... (1250 examples) done
Training set properties: 500 features, 25 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=1, CEps=21.7568, QPEps=0.0000)
Iter 3: .........*(NumConst=3, SV=2, CEps=174.4339, QPEps=0.0000)
Iter 4: *(NumConst=4, SV=3, CEps=47.5358, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=3, CEps=30.3612, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=4, CEps=17.7471, QPEps=0.0000)
Iter 7: *(NumConst=7, SV=4, CEps=27.9851, QPEps=0.0001)
Iter 8: *(NumConst=8, SV=5, CEps=18.4466, QPEps=0.0000)
Iter 9: .........*(NumConst=9, SV=6, CEps=213.7465, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=7, CEps=43.2488, QPEps=0.0000)
Iter 11: *(NumConst=11, SV=7, CEps=38.8863, QPEps=0.0000)
Iter 12: .........*(NumConst=12, SV=8, CEps=167.0803, QPEps=0.0000)
Iter 13: *(NumConst=13, SV=9, CEps=46.7021, QPEps=0.0000)
Iter 14: *(NumConst=14, SV=9, CEps=129.7762, QPEps=0.0000)
Iter 15: *(NumConst=15, SV=10, CEps=55.5742, QPEps=0.0000)
Iter 16: *(NumConst=16, SV=10, CEps=51.5582, QPEps=11.3866)
Iter 17: *(NumConst=17, SV=9, CEps=35.2869, QPEps=1.7111)
Iter 18: *(NumConst=18, SV=10, CEps=44.0969, QPEps=3.6213)
Iter 19: *(NumConst=19, SV=11, CEps=48.8942, QPEps=1.5433)
Iter 20: *(NumConst=20, SV=11, CEps=52.3433, QPEps=3.3789)
Iter 21: *(NumConst=21, SV=12, CEps=31.1736, QPEps=15.5385)
Iter 22: *(NumConst=22, SV=13, CEps=29.4095, QPEps=9.7313)
Iter 23: *(NumConst=23, SV=13, CEps=37.2756, QPEps=7.0898)
Iter 24: *(NumConst=24, SV=14, CEps=25.5303, QPEps=7.1250)
Iter 25: *(NumConst=25, SV=14, CEps=28.4465, QPEps=12.5398)
Iter 26: .........*(NumConst=26, SV=15, CEps=219.7591, QPEps=7.5924)
Iter 27: *(NumConst=27, SV=16, CEps=59.4593, QPEps=9.8589)
Iter 28: *(NumConst=28, SV=16, CEps=46.7195, QPEps=7.1188)
Iter 29: *(NumConst=29, SV=20, CEps=27.4698, QPEps=12.0030)
Iter 30: *(NumConst=30, SV=17, CEps=33.3393, QPEps=11.2641)
Iter 31: .........*(NumConst=31, SV=18, CEps=236.0886, QPEps=22.1249)
Iter 32: *(NumConst=32, SV=18, CEps=44.4693, QPEps=15.6696)
Iter 33: *(NumConst=33, SV=21, CEps=28.6034, QPEps=12.3669)
Iter 34: .........*(NumConst=34, SV=22, CEps=174.4944, QPEps=22.3393)
Iter 35: *(NumConst=35, SV=22, CEps=51.6043, QPEps=11.0013)
Iter 36: *(NumConst=36, SV=20, CEps=49.5437, QPEps=19.7766)
Iter 37: *(NumConst=37, SV=21, CEps=42.0710, QPEps=20.8959)
Iter 38: *(NumConst=38, SV=23, CEps=37.4495, QPEps=18.1259)
Iter 39: *(NumConst=39, SV=23, CEps=30.0129, QPEps=14.9634)
Iter 40: *(NumConst=40, SV=23, CEps=40.6919, QPEps=14.7882)
Iter 41: *(NumConst=41, SV=24, CEps=19.9240, QPEps=9.6773)
Iter 42: *(NumConst=42, SV=24, CEps=19.6473, QPEps=9.1377)
Iter 43: *(NumConst=43, SV=25, CEps=29.5823, QPEps=8.8758)
Iter 44: *(NumConst=44, SV=24, CEps=28.4222, QPEps=8.3330)
Iter 45: *(NumConst=45, SV=24, CEps=22.4671, QPEps=8.7549)
Iter 46: .........*(NumConst=46, SV=25, CEps=186.6596, QPEps=31.1984)
Iter 47: *(NumConst=47, SV=25, CEps=36.6047, QPEps=17.5866)
Iter 48: *(NumConst=48, SV=26, CEps=22.3068, QPEps=10.0659)
Iter 49: .........*(NumConst=49, SV=26, CEps=185.7968, QPEps=23.8159)
Iter 50: *(NumConst=50, SV=27, CEps=21.2595, QPEps=9.3567)
Iter 51: .........*(NumConst=50, SV=29, CEps=167.0648, QPEps=25.1591)
Iter 52: *(NumConst=51, SV=30, CEps=50.8076, QPEps=11.3502)
Iter 53: *(NumConst=52, SV=31, CEps=39.9040, QPEps=19.6970)
Iter 54: *(NumConst=52, SV=31, CEps=43.0393, QPEps=19.0244)
Iter 55: *(NumConst=53, SV=29, CEps=42.5228, QPEps=11.9026)
Iter 56: *(NumConst=54, SV=30, CEps=38.4545, QPEps=18.6616)
Iter 57: *(NumConst=55, SV=31, CEps=35.0407, QPEps=15.0715)
Iter 58: *(NumConst=56, SV=33, CEps=23.5941, QPEps=10.3703)
Iter 59: *(NumConst=57, SV=31, CEps=19.4160, QPEps=9.0634)
Iter 60: *(NumConst=58, SV=30, CEps=23.5692, QPEps=8.1556)
Iter 61: *(NumConst=59, SV=29, CEps=21.7804, QPEps=7.1224)
Iter 62: .........*(NumConst=60, SV=30, CEps=101.5444, QPEps=23.7497)
Iter 63: *(NumConst=61, SV=32, CEps=62.5963, QPEps=24.6199)
Iter 64: *(NumConst=62, SV=35, CEps=64.5650, QPEps=20.9620)
Iter 65: *(NumConst=63, SV=30, CEps=60.4357, QPEps=21.5576)
Iter 66: *(NumConst=63, SV=31, CEps=54.1260, QPEps=26.6537)
Iter 67: *(NumConst=64, SV=30, CEps=50.8700, QPEps=22.5453)
Iter 68: *(NumConst=65, SV=30, CEps=59.9696, QPEps=17.8784)
Iter 69: *(NumConst=66, SV=31, CEps=49.6523, QPEps=19.1344)
Iter 70: *(NumConst=67, SV=32, CEps=43.3465, QPEps=17.3490)
Iter 71: *(NumConst=68, SV=32, CEps=49.4669, QPEps=21.3506)
Iter 72: *(NumConst=69, SV=30, CEps=37.6137, QPEps=18.2358)
Iter 73: *(NumConst=70, SV=31, CEps=37.9013, QPEps=18.2126)
Iter 74: *(NumConst=71, SV=30, CEps=42.5376, QPEps=16.9376)
Iter 75: *(NumConst=72, SV=30, CEps=31.4807, QPEps=15.4969)
Iter 76: *(NumConst=73, SV=29, CEps=36.2146, QPEps=15.4345)
Iter 77: *(NumConst=74, SV=29, CEps=28.5817, QPEps=13.5986)
Iter 78: *(NumConst=75, SV=29, CEps=40.9310, QPEps=13.7853)
Iter 79: *(NumConst=73, SV=28, CEps=22.9507, QPEps=11.4182)
Iter 80: *(NumConst=74, SV=28, CEps=39.5419, QPEps=10.0707)
Iter 81: *(NumConst=75, SV=29, CEps=27.6418, QPEps=9.5610)
Iter 82: *(NumConst=76, SV=28, CEps=19.0278, QPEps=9.4900)
Iter 83: *(NumConst=77, SV=27, CEps=27.2724, QPEps=8.1746)
Iter 84: *(NumConst=78, SV=28, CEps=19.2726, QPEps=6.7489)
Iter 85: *(NumConst=78, SV=26, CEps=15.2529, QPEps=7.1284)
Iter 86: *(NumConst=79, SV=28, CEps=16.2613, QPEps=7.0929)
Iter 87: *(NumConst=80, SV=28, CEps=12.4200, QPEps=6.1026)
Iter 88: *(NumConst=81, SV=28, CEps=10.1944, QPEps=4.7418)
Iter 89: .........*(NumConst=82, SV=29, CEps=61.2498, QPEps=11.1247)
Iter 90: *(NumConst=82, SV=33, CEps=34.2754, QPEps=14.2735)
Iter 91: *(NumConst=82, SV=34, CEps=40.8735, QPEps=12.5199)
Iter 92: *(NumConst=82, SV=33, CEps=37.5503, QPEps=15.9111)
Iter 93: *(NumConst=82, SV=35, CEps=34.7998, QPEps=16.8658)
Iter 94: *(NumConst=81, SV=34, CEps=47.1557, QPEps=15.8387)
Iter 95: *(NumConst=82, SV=33, CEps=24.8269, QPEps=11.4471)
Iter 96: *(NumConst=83, SV=33, CEps=32.1732, QPEps=11.5461)
Iter 97: *(NumConst=84, SV=34, CEps=34.5419, QPEps=11.8327)
Iter 98: *(NumConst=84, SV=34, CEps=25.7383, QPEps=10.1937)
Iter 99: *(NumConst=85, SV=34, CEps=19.2547, QPEps=7.9388)
Iter 100: *(NumConst=86, SV=35, CEps=32.8676, QPEps=8.3965)
Iter 101: *(NumConst=87, SV=36, CEps=21.3835, QPEps=9.2148)
Iter 102: *(NumConst=87, SV=36, CEps=19.8796, QPEps=9.0628)
Iter 103: *(NumConst=87, SV=37, CEps=20.0901, QPEps=8.3515)
Iter 104: *(NumConst=87, SV=35, CEps=17.3174, QPEps=7.7199)
Iter 105: *(NumConst=88, SV=36, CEps=16.8830, QPEps=7.2698)
Iter 106: *(NumConst=88, SV=38, CEps=18.1428, QPEps=7.3834)
Iter 107: *(NumConst=88, SV=35, CEps=16.8583, QPEps=6.4743)
Iter 108: *(NumConst=86, SV=36, CEps=15.9293, QPEps=6.4556)
Iter 109: *(NumConst=86, SV=35, CEps=18.1971, QPEps=7.8713)
Iter 110: *(NumConst=85, SV=34, CEps=17.7634, QPEps=6.4463)
Iter 111: *(NumConst=86, SV=33, CEps=14.9396, QPEps=7.4606)
Iter 112: *(NumConst=86, SV=32, CEps=14.2584, QPEps=6.3909)
Iter 113: *(NumConst=86, SV=33, CEps=13.5548, QPEps=6.6778)
Iter 114: *(NumConst=82, SV=33, CEps=10.2449, QPEps=4.9136)
Iter 115: *(NumConst=83, SV=34, CEps=9.6467, QPEps=4.2628)
Iter 116: *(NumConst=82, SV=35, CEps=11.3772, QPEps=4.5805)
Iter 117: *(NumConst=82, SV=35, CEps=9.6595, QPEps=4.5227)
Iter 118: *(NumConst=82, SV=36, CEps=8.0341, QPEps=3.7916)
Iter 119: *(NumConst=83, SV=36, CEps=7.5755, QPEps=3.4361)
Iter 120: *(NumConst=84, SV=36, CEps=9.8856, QPEps=3.4866)
Iter 121: *(NumConst=84, SV=37, CEps=7.6622, QPEps=3.4687)
Iter 122: *(NumConst=83, SV=38, CEps=9.7511, QPEps=3.5672)
Iter 123: *(NumConst=82, SV=39, CEps=8.4736, QPEps=3.5868)
Iter 124: .........*(NumConst=82, SV=43, CEps=29.5675, QPEps=10.6496)
Iter 125: *(NumConst=83, SV=42, CEps=30.6050, QPEps=14.5830)
Iter 126: *(NumConst=83, SV=43, CEps=27.0511, QPEps=10.6262)
Iter 127: *(NumConst=83, SV=44, CEps=30.4081, QPEps=11.9659)
Iter 128: *(NumConst=83, SV=44, CEps=27.0579, QPEps=12.7193)
Iter 129: *(NumConst=84, SV=44, CEps=19.4267, QPEps=9.5766)
Iter 130: *(NumConst=84, SV=42, CEps=19.4470, QPEps=8.8032)
Iter 131: *(NumConst=83, SV=44, CEps=22.4802, QPEps=9.4629)
Iter 132: *(NumConst=82, SV=46, CEps=20.6576, QPEps=8.5302)
Iter 133: *(NumConst=83, SV=44, CEps=18.1393, QPEps=8.4435)
Iter 134: *(NumConst=82, SV=46, CEps=17.7118, QPEps=8.6947)
Iter 135: *(NumConst=83, SV=47, CEps=15.5562, QPEps=7.2305)
Iter 136: *(NumConst=83, SV=48, CEps=17.7747, QPEps=6.0614)
Iter 137: *(NumConst=83, SV=48, CEps=13.1002, QPEps=6.2414)
Iter 138: *(NumConst=84, SV=49, CEps=13.8788, QPEps=6.5117)
Iter 139: *(NumConst=85, SV=49, CEps=14.8660, QPEps=6.5449)
Iter 140: *(NumConst=85, SV=48, CEps=11.2551, QPEps=5.5371)
Iter 141: *(NumConst=84, SV=47, CEps=12.2968, QPEps=5.5702)
Iter 142: *(NumConst=85, SV=43, CEps=10.3374, QPEps=5.1459)
Iter 143: *(NumConst=84, SV=44, CEps=11.3771, QPEps=4.8917)
Iter 144: *(NumConst=84, SV=45, CEps=10.3374, QPEps=4.9315)
Iter 145: *(NumConst=84, SV=42, CEps=11.5743, QPEps=5.1342)
Iter 146: *(NumConst=85, SV=42, CEps=11.0660, QPEps=4.2628)
Iter 147: *(NumConst=86, SV=43, CEps=8.3928, QPEps=3.9285)
Iter 148: *(NumConst=86, SV=42, CEps=8.1869, QPEps=3.9270)
Iter 149: *(NumConst=86, SV=41, CEps=7.2268, QPEps=3.6076)
Iter 150: *(NumConst=86, SV=41, CEps=7.6231, QPEps=3.3744)
Iter 151: *(NumConst=87, SV=41, CEps=11.9158, QPEps=3.4432)
Iter 152: *(NumConst=88, SV=40, CEps=7.0288, QPEps=3.1045)
Iter 153: *(NumConst=87, SV=38, CEps=8.8799, QPEps=3.3234)
Iter 154: *(NumConst=87, SV=38, CEps=7.3940, QPEps=3.4558)
Iter 155: *(NumConst=88, SV=39, CEps=7.4649, QPEps=3.1826)
Iter 156: *(NumConst=87, SV=40, CEps=5.5402, QPEps=2.5229)
Iter 157: *(NumConst=87, SV=40, CEps=5.6910, QPEps=2.7570)
Iter 158: *(NumConst=86, SV=41, CEps=7.6493, QPEps=2.6669)
Iter 159: *(NumConst=85, SV=41, CEps=5.6792, QPEps=2.6571)
Iter 160: *(NumConst=85, SV=42, CEps=5.2011, QPEps=2.4573)
Iter 161: *(NumConst=84, SV=43, CEps=5.5460, QPEps=2.5949)
Iter 162: *(NumConst=85, SV=43, CEps=5.7958, QPEps=2.5592)
Iter 163: *(NumConst=85, SV=44, CEps=4.8640, QPEps=2.1673)
Iter 164: *(NumConst=86, SV=45, CEps=5.1397, QPEps=2.3114)
Iter 165: *(NumConst=87, SV=46, CEps=4.4607, QPEps=1.7859)
Iter 166: *(NumConst=87, SV=47, CEps=4.4313, QPEps=1.8259)
Iter 167: *(NumConst=88, SV=48, CEps=4.6127, QPEps=2.0394)
Iter 168: *(NumConst=89, SV=49, CEps=4.6715, QPEps=2.0857)
Iter 169: *(NumConst=90, SV=50, CEps=4.4440, QPEps=2.0588)
Iter 170: *(NumConst=91, SV=51, CEps=3.7178, QPEps=1.8300)
Iter 171: *(NumConst=92, SV=52, CEps=3.8171, QPEps=1.6708)
Iter 172: *(NumConst=93, SV=52, CEps=3.5785, QPEps=1.7047)
Iter 173: *(NumConst=94, SV=53, CEps=3.7181, QPEps=1.4313)
Iter 174: *(NumConst=95, SV=55, CEps=3.5190, QPEps=1.7265)
Iter 175: .........*(NumConst=95, SV=58, CEps=12.1484, QPEps=5.8943)
Iter 176: *(NumConst=95, SV=56, CEps=15.8433, QPEps=4.7662)
Iter 177: *(NumConst=95, SV=57, CEps=12.7464, QPEps=5.8923)
Iter 178: *(NumConst=96, SV=59, CEps=12.0950, QPEps=5.8952)
Iter 179: *(NumConst=96, SV=59, CEps=10.6197, QPEps=5.1051)
Iter 180: *(NumConst=97, SV=60, CEps=9.4121, QPEps=4.3292)
Iter 181: *(NumConst=98, SV=61, CEps=8.7431, QPEps=4.1373)
Iter 182: *(NumConst=97, SV=61, CEps=8.0363, QPEps=3.9107)
Iter 183: *(NumConst=98, SV=60, CEps=9.1489, QPEps=3.7588)
Iter 184: *(NumConst=98, SV=62, CEps=7.4766, QPEps=3.2738)
Iter 185: *(NumConst=99, SV=63, CEps=6.5141, QPEps=3.1223)
Iter 186: *(NumConst=100, SV=64, CEps=6.6216, QPEps=2.9294)
Iter 187: *(NumConst=101, SV=64, CEps=6.8188, QPEps=3.1762)
Iter 188: *(NumConst=101, SV=64, CEps=6.8618, QPEps=3.2146)
Iter 189: *(NumConst=100, SV=65, CEps=5.8572, QPEps=2.4119)
Iter 190: *(NumConst=98, SV=65, CEps=5.6866, QPEps=2.7008)
Iter 191: *(NumConst=95, SV=66, CEps=5.8821, QPEps=2.4854)
Iter 192: *(NumConst=95, SV=65, CEps=4.7111, QPEps=2.3445)
Iter 193: *(NumConst=95, SV=66, CEps=4.7589, QPEps=1.8293)
Iter 194: *(NumConst=93, SV=66, CEps=4.7633, QPEps=2.2012)
Iter 195: *(NumConst=93, SV=66, CEps=4.0067, QPEps=1.8078)
Iter 196: *(NumConst=93, SV=66, CEps=3.8025, QPEps=1.6463)
Iter 197: *(NumConst=92, SV=67, CEps=4.1801, QPEps=1.5184)
Iter 198: *(NumConst=92, SV=65, CEps=4.0606, QPEps=1.8729)
Iter 199: *(NumConst=92, SV=65, CEps=3.9205, QPEps=1.8462)
Iter 200: *(NumConst=93, SV=65, CEps=3.4117, QPEps=1.7058)
Iter 201: *(NumConst=92, SV=67, CEps=3.7341, QPEps=1.6827)
Iter 202: *(NumConst=91, SV=66, CEps=3.5885, QPEps=1.6820)
Iter 203: *(NumConst=91, SV=67, CEps=3.4270, QPEps=1.6358)
Iter 204: *(NumConst=92, SV=68, CEps=3.3473, QPEps=1.3084)
Iter 205: *(NumConst=92, SV=68, CEps=2.8924, QPEps=1.3862)
Iter 206: *(NumConst=92, SV=69, CEps=2.7836, QPEps=1.3095)
Iter 207: *(NumConst=93, SV=68, CEps=2.9982, QPEps=1.2167)
Iter 208: *(NumConst=93, SV=67, CEps=2.7386, QPEps=1.3158)
